"","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"8046",11414938,"JB394524","08/15/2018 11:20:00 AM","086XX S MORGAN ST","5011","OTHER OFFENSE","LICENSE VIOLATION","GAS STATION",TRUE,FALSE,"0613","006",21,71,"26",1171161,1847436,2018,"08/22/2018 04:19:05 PM",41.736830917,-87.648503513,"(41.736830917, -87.648503513)"
"8047",11504632,"JB512328","11/11/2018 05:24:00 PM","038XX W OHIO ST","0470","PUBLIC PEACE VIOLATION","RECKLESS CONDUCT","RESIDENTIAL YARD (FRONT/BACK)",TRUE,FALSE,"1122","011",27,23,"24",1150866,1903736,2018,"11/18/2018 04:11:31 PM",41.89174515,-87.721389892,"(41.89174515, -87.721389892)"
"8048",11294318,"JB235958","04/24/2018 11:48:00 AM","0000X W TERMINAL ST","0860","THEFT","RETAIL THEFT","AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA",TRUE,FALSE,"1653","016",41,76,"06",1101811,1934419,2018,"05/04/2018 03:51:04 PM",41.976762981,-87.900983721,"(41.976762981, -87.900983721)"
"8049",11402003,"JB377755","08/03/2018 03:33:00 PM","082XX S CORNELL AVE","0630","BURGLARY","ATTEMPT FORCIBLE ENTRY","APARTMENT",FALSE,FALSE,"0411","004",8,45,"05",1188697,1850713,2018,"08/10/2018 04:09:29 PM",41.745422451,-87.584153287,"(41.745422451, -87.584153287)"
"8050",11285128,"JB223645","04/14/2018 12:13:00 PM","005XX W 71ST ST","5110","OTHER OFFENSE","GUN OFFENDER: DUTY TO REGISTER","STREET",TRUE,FALSE,"0732","007",6,68,"26",1173769,1857829,2018,"05/04/2018 03:51:04 PM",41.76529327,-87.638641205,"(41.76529327, -87.638641205)"
"8051",11503567,"JB511021","11/10/2018 02:00:00 PM","020XX N CLARK ST","0810","THEFT","OVER $500","STREET",FALSE,FALSE,"1814","018",43,7,"06",1173986,1913691,2018,"11/17/2018 04:14:20 PM",41.918578314,-87.636183854,"(41.918578314, -87.636183854)"
"8052",11352251,"JB312924","06/18/2018 09:49:00 PM","038XX W FLOURNOY ST","2013","NARCOTICS","MANU/DELIVER: HEROIN(BRN/TAN)","VACANT LOT/LAND",TRUE,FALSE,"1133","011",24,26,"18",1150909,1896755,2018,"06/25/2018 03:52:40 PM",41.872587691,-87.721414778,"(41.872587691, -87.721414778)"
"8053",11490185,"JB493559","10/27/2018 04:00:00 PM","019XX N MILWAUKEE AVE","0820","THEFT","$500 AND UNDER","STREET",FALSE,FALSE,"1434","014",1,22,"06",1159864,1913094,2018,"11/03/2018 04:10:06 PM",41.917243399,-87.688085703,"(41.917243399, -87.688085703)"
"8054",11251630,"JB179812","03/09/2018 05:20:00 PM","029XX N ALLEN AVE","1121","DECEPTIVE PRACTICE","COUNTERFEITING DOCUMENT","RESIDENCE PORCH/HALLWAY",FALSE,FALSE,"1412","014",35,21,"10",1152568,1919304,2018,"05/04/2018 03:51:04 PM",41.934431662,-87.714726802,"(41.934431662, -87.714726802)"
"8055",11445395,"JB434408","09/13/2018 09:03:00 PM","028XX S SACRAMENTO AVE","0560","ASSAULT","SIMPLE","PARK PROPERTY",TRUE,FALSE,"1033","010",12,30,"08A",1156822,1885102,2018,"09/20/2018 04:03:40 PM",41.840492863,-87.700020957,"(41.840492863, -87.700020957)"
"8056",11225759,"JB141075","02/04/2018 03:22:00 PM","0000X W TERMINAL ST","0460","BATTERY","SIMPLE","AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA",FALSE,FALSE,"1653","016",41,76,"08B",1101811,1934419,2018,"05/04/2018 03:51:04 PM",41.976762981,-87.900983721,"(41.976762981, -87.900983721)"
"8057",11405889,"JB378819","08/04/2018 11:40:00 AM","032XX W DOUGLAS BLVD","0497","BATTERY","AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON","APARTMENT",FALSE,TRUE,"1022","010",24,29,"04B",1155084,1893274,2018,"08/15/2018 04:02:58 PM",41.862952758,-87.706179759,"(41.862952758, -87.706179759)"
"8058",11615984,"JC176873","12/20/2018 02:17:00 PM","016XX W HOWARD ST","1110","DECEPTIVE PRACTICE","BOGUS CHECK","CURRENCY EXCHANGE",FALSE,FALSE,"2422","024",49,1,"11",NA,NA,2018,"03/08/2019 04:36:43 PM",NA,NA,NA
"8059",11529322,"JB545267","12/05/2018 09:30:00 AM","013XX N ASTOR ST","1365","CRIMINAL TRESPASS","TO RESIDENCE","APARTMENT",FALSE,FALSE,"1824","018",43,8,"26",1176364,1909529,2018,"12/12/2018 04:18:33 PM",41.907104235,-87.627572802,"(41.907104235, -87.627572802)"
"8060",11426525,"JB409527","08/26/2018 11:50:00 AM","065XX S DR MARTIN LUTHER KING JR DR","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE PORCH/HALLWAY",FALSE,TRUE,"0312","003",20,69,"08B",1180044,1861783,2018,"09/02/2018 03:59:07 PM",41.776002079,-87.61552061,"(41.776002079, -87.61552061)"
"8061",11306605,"JB252532","05/05/2018 07:00:00 AM","081XX S PAXTON AVE","0810","THEFT","OVER $500","RESIDENTIAL YARD (FRONT/BACK)",FALSE,FALSE,"0414","004",8,46,"06",1192271,1851401,2018,"05/12/2018 03:56:14 PM",41.747224247,-87.571035418,"(41.747224247, -87.571035418)"
"8062",11462512,"JB456859","09/28/2018 08:00:00 AM","021XX N WESTERN AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET",FALSE,FALSE,"1432","014",32,22,"14",1160003,1914594,2018,"10/05/2018 03:59:12 PM",41.921356637,-87.687533514,"(41.921356637, -87.687533514)"
"8063",11287210,"JB226639","04/13/2018 10:30:00 PM","059XX S PEORIA ST","0479","BATTERY","AGG: HANDS/FIST/FEET SERIOUS INJURY","RESIDENCE PORCH/HALLWAY",FALSE,FALSE,"0712","007",16,68,"04B",1171325,1865387,2018,"05/04/2018 03:51:04 PM",41.786087136,-87.64737823,"(41.786087136, -87.64737823)"
"8064",11460694,"JB454177","09/28/2018 10:38:00 AM","024XX E 76TH ST","0440","BATTERY","AGG: HANDS/FIST/FEET NO/MINOR INJURY","STREET",TRUE,FALSE,"0421","004",7,43,"08B",1194099,1855053,2018,"10/05/2018 03:59:12 PM",41.75720099,-87.564217623,"(41.75720099, -87.564217623)"
"8065",11487175,"JB489448","10/23/2018 02:00:00 PM","034XX W CULLOM AVE","1130","DECEPTIVE PRACTICE","FRAUD OR CONFIDENCE GAME","RESIDENCE",FALSE,FALSE,"1723","017",35,16,"11",1152505,1928363,2018,"10/30/2018 04:19:01 PM",41.959291472,-87.714718048,"(41.959291472, -87.714718048)"
"8066",11487891,"JB490220","10/25/2018 08:19:00 PM","082XX S INGLESIDE AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT",FALSE,TRUE,"0631","006",8,44,"08B",1183997,1850631,2018,"11/01/2018 04:12:18 PM",41.745308434,-87.601377256,"(41.745308434, -87.601377256)"
"8067",11420397,"JB401553","08/20/2018 02:00:00 PM","025XX W THOMAS ST","1330","CRIMINAL TRESPASS","TO LAND","RESIDENTIAL YARD (FRONT/BACK)",TRUE,FALSE,"1211","012",26,24,"26",1159179,1907229,2018,"09/29/2018 03:54:15 PM",41.901163492,-87.690763827,"(41.901163492, -87.690763827)"
"8068",11944628,"JD107549","12/26/2018 10:00:00 AM","023XX N CENTRAL PARK AVE","1754","OFFENSE INVOLVING CHILDREN","AGG SEX ASSLT OF CHILD FAM MBR","APARTMENT",FALSE,FALSE,"2525","025",35,22,"02",NA,NA,2018,"01/08/2020 03:49:48 PM",NA,NA,NA
"8069",11308132,"JB250640","05/05/2018 03:38:00 AM","009XX S INDEPENDENCE BLVD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","SIDEWALK",FALSE,TRUE,"1133","011",24,29,"08B",1151403,1895634,2018,"05/16/2018 04:09:42 PM",41.869501863,-87.719630494,"(41.869501863, -87.719630494)"
"8070",11263366,"JB195202","03/22/2018 12:01:00 AM","023XX W CULLERTON ST","1320","CRIMINAL DAMAGE","TO VEHICLE","VEHICLE NON-COMMERCIAL",FALSE,FALSE,"1234","012",25,31,"14",1161005,1890349,2018,"05/04/2018 03:51:04 PM",41.854805518,-87.684525468,"(41.854805518, -87.684525468)"
"8071",11330669,"JB284443","05/29/2018 08:50:00 PM","078XX S CHAMPLAIN AVE","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","RESIDENCE",FALSE,FALSE,"0624","006",6,69,"26",1181925,1853097,2018,"06/05/2018 03:53:03 PM",41.752123521,-87.60889326,"(41.752123521, -87.60889326)"
"8072",11355259,"JB316751","06/21/2018 04:26:00 PM","036XX N HALSTED ST","0460","BATTERY","SIMPLE","OTHER",TRUE,FALSE,"1923","019",44,6,"08B",1170271,1924485,2018,"07/04/2018 03:51:14 PM",41.948279589,-87.649516667,"(41.948279589, -87.649516667)"
"8073",11317767,"JB266892","05/11/2018 11:00:00 PM","058XX S MARYLAND AVE","0890","THEFT","FROM BUILDING","HOSPITAL BUILDING/GROUNDS",FALSE,FALSE,"0235","002",5,41,"06",1182887,1866434,2018,"05/19/2018 03:46:24 PM",41.788699253,-87.604954085,"(41.788699253, -87.604954085)"
"8074",11332290,"JB285252","05/30/2018 01:28:00 PM","073XX S BENNETT AVE","0320","ROBBERY","STRONGARM - NO WEAPON","SIDEWALK",FALSE,FALSE,"0324","003",5,43,"03",1189980,1856579,2018,"07/18/2018 03:53:33 PM",41.761488524,-87.579263838,"(41.761488524, -87.579263838)"
"8075",11407214,"JB384657","07/02/2018 09:00:00 AM","064XX N SHERIDAN RD","1152","DECEPTIVE PRACTICE","ILLEGAL USE CASH CARD","OTHER",FALSE,FALSE,"2432","024",49,1,"11",1167194,1942793,2018,"08/11/2018 04:07:28 PM",41.998584125,-87.660298313,"(41.998584125, -87.660298313)"
"8076",11308722,"JB254911","05/08/2018 10:05:00 AM","017XX N FRANCISCO AVE","143A","WEAPONS VIOLATION","UNLAWFUL POSS OF HANDGUN","SIDEWALK",TRUE,FALSE,"1421","014",35,24,"15",1156858,1911576,2018,"05/15/2018 03:55:49 PM",41.913139415,-87.699171042,"(41.913139415, -87.699171042)"
"8077",11325159,"JB276931","05/24/2018 02:20:00 PM","039XX W 61ST PL","0820","THEFT","$500 AND UNDER","RESIDENTIAL YARD (FRONT/BACK)",FALSE,FALSE,"0823","008",13,65,"06",1151137,1863529,2018,"05/31/2018 03:57:28 PM",41.781406623,-87.72144651,"(41.781406623, -87.72144651)"
"8078",11506224,"JB514606","11/12/2018 02:00:00 PM","010XX N MARSHFIELD AVE","0810","THEFT","OVER $500","RESIDENCE-GARAGE",FALSE,FALSE,"1213","012",1,24,"06",1165194,1907370,2018,"11/19/2018 04:22:02 PM",41.90142465,-87.66866623,"(41.90142465, -87.66866623)"
"8079",11478262,"JB477710","10/16/2018 10:50:00 AM","038XX S ELLIS AVE","1154","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","RESIDENCE",FALSE,FALSE,"0212","002",4,36,"11",1182584,1879629,2018,"10/23/2018 04:27:27 PM",41.824914418,-87.605655435,"(41.824914418, -87.605655435)"
"8080",11392963,"JB365795","07/26/2018 09:00:00 AM","052XX W MADISON ST","0860","THEFT","RETAIL THEFT","DRUG STORE",FALSE,FALSE,"1522","015",28,25,"06",1141512,1899523,2018,"08/02/2018 03:53:00 PM",41.880362084,-87.755847438,"(41.880362084, -87.755847438)"
"8081",11253389,"JB182234","03/11/2018 07:05:00 PM","003XX E 119TH ST","0460","BATTERY","SIMPLE","RESIDENCE",FALSE,TRUE,"0532","005",9,53,"08B",1180506,1826125,2018,"05/04/2018 03:51:04 PM",41.678141557,-87.614917943,"(41.678141557, -87.614917943)"
"8082",11312900,"JB260628","05/11/2018 04:04:00 PM","035XX W BELMONT AVE","0820","THEFT","$500 AND UNDER","RESIDENTIAL YARD (FRONT/BACK)",FALSE,FALSE,"1732","017",35,21,"06",1152261,1921052,2018,"05/18/2018 03:52:39 PM",41.939234385,-87.71580876,"(41.939234385, -87.71580876)"
"8083",11303942,"JB248643","05/02/2018 09:00:00 PM","011XX N HERMITAGE AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT",FALSE,FALSE,"1213","012",1,24,"14",1164516,1907762,2018,"05/09/2018 03:51:40 PM",41.902514714,-87.671145473,"(41.902514714, -87.671145473)"
"8084",11309552,"JB256239","05/09/2018 08:36:00 AM","003XX N LONG AVE","0820","THEFT","$500 AND UNDER","ALLEY",FALSE,FALSE,"1523","015",28,25,"06",1140286,1901629,2018,"05/16/2018 04:12:54 PM",41.886163765,-87.76029761,"(41.886163765, -87.76029761)"
"8085",11534909,"JB552758","11/27/2018 12:00:00 PM","009XX N KARLOV AVE","1153","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","RESIDENCE",FALSE,FALSE,"1111","011",37,23,"11",1148882,1905903,2018,"12/16/2018 04:03:39 PM",41.897730224,-87.728620196,"(41.897730224, -87.728620196)"
